,id,name,producer,nation,local1,local2,local3,local4,varieties1,varieties2,varieties3,varieties4,varieties5,varieties6,varieties7,varieties8,varieties9,varieties10,varieties11,varieties12,type,use,abv,degree,sweet,acidity,body,tannin,price,year,ml
0,137197,Altair,Altair,Chile,Rapel Valley,,,,Cabernet Sauvignon,Carmenere,Merlot,,,,,,,,,,Red,Table,14~15,17~19,SWEET1,ACIDITY4,BODY5,TANNIN4,220000,2014,750
1,137198,"Altair, Sideral",Altair,Chile,Rapel Valley,,,,Cabernet Sauvignon,Merlot,Carmenere,Cabernet Franc,Syrah & Shiraz,Petit Verdot,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,110000,2016,750
2,137199,Baron du Val Red,Baron du Val,France,,,,,Carignan,Cinsault,Syrah & Shiraz,Grenache Noir,,,,,,,,,Red,Table,11~12,15~17,SWEET2,ACIDITY3,BODY2,TANNIN2,0,0,750
4,137201,"Benziger, Cabernet Sauvignon",Benziger,USA,California,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,13~14,17~19,SWEET1,ACIDITY3,BODY3,TANNIN4,0,2003,750
5,137202,"Calvet, Beaujolais Villages",Calvet,France,Bourgogne,Beaujolais,,,Gamay,,,,,,,,,,,,Red,Table,12,13~15,SWEET2,ACIDITY4,BODY2,TANNIN2,0,2007,750
6,137203,"Calvet, Aetos",Calvet,France,Bordeaux,,,,Merlot,,,,,,,,,,,,Red,Table,13,17~19,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2003,750
7,137204,"Calvet, Bordeaux Red",Calvet,France,Bordeaux,,,,Merlot,Cabernet Sauvignon,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY2,TANNIN3,21000,2011,750
9,137207,"Calvet, Varietals Cabernet Sauvignon",Calvet,France,Southern France,Languedoc Roussillon,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY2,TANNIN3,19000,2017,750
10,137208,"Calvet, Varietals Merlot",Calvet,France,Southern France,Languedoc Roussillon,,,Merlot,,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,19000,2011,750
13,137211,"Calvet, Margaux",Calvet,France,Bordeaux,Margaux,,,Cabernet Sauvignon,Merlot,Malbec,Petit Verdot,,,,,,,,,Red,Table,12.5,17~19,SWEET1,ACIDITY4,BODY3,TANNIN3,0,2004,750
14,137212,"Calvet, Medoc",Calvet,France,Bordeaux,Medoc,,,Cabernet Sauvignon,Merlot,Cabernet Franc,Petit Verdot,,,,,,,,,Red,Table,12~13,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,32000,2015,750
15,137214,"Calvet, Saint Emilion",Calvet,France,Bordeaux,SaintEmilion,,,Merlot,Cabernet Franc,,,,,,,,,,,Red,Table,12~13,16~18,SWEET1,ACIDITY3,BODY2,TANNIN2,42000,2010,750
18,137222,La Carillon de l'Angelus,Chateau Angelus 1st Grand Cru ClasseA,France,Bordeaux,SaintEmilion Grand Cru,,,Merlot,Cabernet Sauvignon,Cabernet Franc,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,250000,2017,750
19,137224,Chateau Brillette,Chateau Brillette,France,Bordeaux,Moulis,,,Merlot,Cabernet Sauvignon,Cabernet Franc,Petit Verdot,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,85000,2013,750
20,137225,Le Bailly de Camensac,Chateau Camensac Grand Cru Classe5th Cru,France,Bordeaux,HautMedoc,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY4,BODY4,TANNIN3,50000,2006,750
21,137226,L'oratoire de Chasse Spleen,Chateau Chasse Spleen,France,Bordeaux,,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,,,,,,,Red,Table,12.5~13.5,16~18,SWEET1,ACIDITY4,BODY3,TANNIN4,50000,2017,750
22,137230,Chateau de Seguin Cuvee Prestige,Chateau de Seguin,France,Bordeaux,Bordeaux Superieur,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY4,TANNIN3,0,2010,750
23,137231,Chateau de Seguin,Chateau de Seguin,France,Bordeaux,Bordeaux Superieur,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2010,750
24,137232,Chateau Durfort Vivens,Chateau DurfortVivens Grand Cru Classe2nd Cru,France,Bordeaux,Margaux,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY4,BODY4,TANNIN4,140000,2017,750
25,137235,La sirene de Giscours,Chateau Giscours Grand Cru Classe3rd Cru,France,Bordeaux,Margaux,,,Cabernet Sauvignon,Merlot,Cabernet Franc,Petit Verdot,,,,,,,,,Red,Table,12~13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,80000,2016,750
26,137237,Chateau Haut Bages Averous,Chateau Lynch Bages Grand Cru Classe5th Cru,France,Bordeaux,Pauillac,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY4,BODY4,TANNIN5,120000,2015,750
27,137238,La Chapelle de Bages,Chateau HautBagesLiberal Grand Cru Classe5th Cru,France,Bordeaux,Pauillac,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY3,TANNIN4,90000,2006,750
28,137241,Chateau Bahans Haut Brion,Chateau HautBrion 1st Grand Cru Classe,France,Bordeaux,PessacLeognan,,,Cabernet Sauvignon,Merlot,Cabernet Franc,Petit Verdot,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN5,270000,2006,750
29,137242,Chateau La Gurgue,Chateau La Gurgue,France,Bordeaux,Margaux,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY4,TANNIN4,130000,2009,750
30,137248,Le Petit Mouton de Mouton Rothschild,Chateau Mouton Rothschild 1st Grand Cru Classe,France,Bordeaux,Pauillac,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN4,570000,2015,750
32,137255,Chateau Tour de Saint Bonnet,Chateau Tour de Saint Bonnet,France,Bordeaux,Medoc,,,Cabernet Sauvignon,Merlot,Malbec,Petit Verdot,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN3,45000,2006,750
33,137257,"Concha y Toro, Carmin de Peumo",Concha y Toro,Chile,Rapel Valley,Cachapoal Valley,Peumo,,Carmenere,Cabernet Sauvignon,Cabernet Franc,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY5,TANNIN5,450000,2013,750
34,137258,"Concha y Toro, Frontera Cabernet Sauvignon",Concha y Toro,Chile,Central Valley,,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,11~12,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,0,2018,750
35,137259,"Concha y Toro, Frontera Carmenere",Concha y Toro,Chile,Central Valley,,,,Carmenere,Cabernet Sauvignon,,,,,,,,,,,Red,Table,12~13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2017,750
36,137260,"Concha y Toro, Sunrise Cabernet Sauvignon",Concha y Toro,Chile,Central Valley,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,22000,2017,750
37,137261,"Concha y Toro, Sunrise Carmenere",Concha y Toro,Chile,Central Valley,,,,Carmenere,,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,22000,2018,750
38,137266,"Concha y Toro, Terrunyo Cabernet Sauvignon",Concha y Toro,Chile,Maipo Valley,,,,Cabernet Sauvignon,Carmenere,Cabernet Franc,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY4,BODY3,TANNIN4,100000,2015,750
39,137267,"Concha y Toro, Terrunyo Carmenere",Concha y Toro,Chile,Rapel Valley,,,,Carmenere,Cabernet Sauvignon,Petit Verdot,Cabernet Franc,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,100000,2017,750
40,137268,"Carlo Rossi, Concord",Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Concord,,,,,,,,,,,,Red,Dessert,11,10~12,SWEET4,ACIDITY1,BODY2,TANNIN1,15000,0,750
41,137269,"Carlo Rossi, California Red",Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Blend,,,,,,,,,,,,Red,Table,12.5~13.5,14~16,SWEET2,ACIDITY2,BODY2,TANNIN2,0,0,750
42,137272,"Carlo Rossi, Red Muscat",Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Blend,,,,,,,,,,,,Red,Dessert,9.5,10~12,SWEET3,ACIDITY1,BODY2,TANNIN1,15000,0,1500
44,137277,Coastal Vineyard Cabernet Sauvignon,Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2003,750
46,137279,"Gallo Family, Frei Ranch Cabernet Sauvignon",Gallo Family Vineyard  EJ Gallo Winery,USA,California,Sonoma County,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,13.5,17~19,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2003,750
48,137281,RedWood Creek Cabernet Sauvignon,Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2005,750
50,137283,RedWood Creek Merlot,Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Merlot,,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2005,750
52,137285,Sycamore Canyon Cabernet Sauvignon,Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,0,2005,750
55,137289,Turning Leaf Cabernet Sauvignon,Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,13.5,17~19,SWEET1,ACIDITY3,BODY3,TANNIN2,0,2009,750
58,137293,Wild Vine Blueberry Cabernet Sauvignon,Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,6~7,13~15,SWEET3,ACIDITY2,BODY3,TANNIN2,0,0,750
59,137294,Sierra Valley Cabernet Sauvignon,Gallo Family Vineyard  EJ Gallo Winery,USA,California,Sierra Foothills,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY5,TANNIN4,0,2005,750
60,137295,"Frei Brothers, Cabernet Sauvignon",Frei Brothers,USA,California,Sonoma County,Alexander Valley,,Cabernet Sauvignon,Petite Sirah,Merlot,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY5,TANNIN5,55000,2018,750
62,137297,"Frei Brothers, Pinot Noir",Frei Brothers,USA,California,Sonoma County,Russian River Valley,,Pinot Noir,,,,,,,,,,,,Red,Table,14~15,15~17,SWEET1,ACIDITY4,BODY3,TANNIN3,59000,2018,750
63,137298,"Gallo Family, Sonoma Cabernet Sauvignon",Gallo Family Vineyard  EJ Gallo Winery,USA,California,Sonoma County,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,70000,2005,750
65,137300,"Gallo Family, Sonoma Merlot",Gallo Family Vineyard  EJ Gallo Winery,USA,California,Sonoma County,,,Merlot,Cabernet Sauvignon,Etc,,,,,,,,,,Red,Table,13.9,17~19,SWEET1,ACIDITY3,BODY4,TANNIN3,70000,2007,750
66,137301,"Gallo Family, Sonoma Pinot Noir",Gallo Family Vineyard  EJ Gallo Winery,USA,California,Sonoma County,,,Pinot Noir,Zinfandel,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN2,70000,2006,750
67,137302,Sonoma Zinfandel,Gallo Family Vineyard  EJ Gallo Winery,USA,California,Sonoma County,,,Zinfandel,Syrah & Shiraz,Petite Sirah,,,,,,,,,,Red,Table,13~14,16~18,SWEET2,ACIDITY2,BODY5,TANNIN3,0,2004,750
68,137303,Stefani Vineyard Cabernet Sauvignon,Gallo Family Vineyard  EJ Gallo Winery,USA,California,Sonoma County,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,1999,750
69,137305,Ginestet Bordeaux de Ginestet Red,Maison Ginestet,France,Bordeaux,,,,Merlot,Cabernet Franc,Cabernet Sauvignon,,,,,,,,,,Red,Table,12.5,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,22500,2006,750
70,137306,Ginestet Bordeaux Reserve Red,Maison Ginestet,France,Bordeaux,,,,Merlot,Cabernet Franc,Cabernet Sauvignon,,,,,,,,,,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,32000,2008,750
73,137310,Mascaron Bordeaux rouge,Maison Ginestet,France,Bordeaux,,,,Merlot,Cabernet Sauvignon,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,36000,2007,750
74,137311,Reference,Maison Ginestet,France,Bordeaux,,,,Merlot,Cabernet Sauvignon,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2000,750
75,137312,Ginestet Margaux,Maison Ginestet,France,Bordeaux,Margaux,,,Cabernet Sauvignon,Merlot,Cabernet Franc,Petit Verdot,,,,,,,,,Red,Table,12.5,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,0,2004,750
76,137314,Ginestet Medoc,Maison Ginestet,France,Bordeaux,Medoc,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,34000,2007,750
77,137315,Henri Medoc,Maison Ginestet,France,Bordeaux,Medoc,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,12,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,0,2005,750
78,137316,Mascaron Medoc,Maison Ginestet,France,Bordeaux,Medoc,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,45000,2008,750
79,137317,"Noble, Medoc",Maison Ginestet,France,Bordeaux,Medoc,,,Cabernet Sauvignon,Merlot,Petit Verdot,,,,,,,,,,Red,Table,12~13,15~18,SWEET1,ACIDITY3,BODY3,TANNIN3,26000,2017,750
80,137318,Chateau Haut Bages Liberal,Chateau HautBagesLiberal Grand Cru Classe5th Cru,France,Bordeaux,Pauillac,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY4,BODY4,TANNIN4,98000,2017,750
81,137319,Ginestet Saint Emilion,Maison Ginestet,France,Bordeaux,SaintEmilion,,,Merlot,Cabernet Franc,Cabernet Sauvignon,,,,,,,,,,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,45000,2008,750
82,137320,Mascaron Puisseguin Saint Emilion,Maison Ginestet,France,Bordeaux,PuisseguinSaintEmilion,,,Merlot,Cabernet Franc,Cabernet Sauvignon,,,,,,,,,,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,45000,2009,750
83,137321,"Ginestet, Saint Estephe",Maison Ginestet,France,Bordeaux,Saint Estephe,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,12~13,16~18,SWEET1,ACIDITY4,BODY3,TANNIN4,0,2004,750
85,137323,"Ginestet, Selection Cabernet Sauvignon",Maison Ginestet,France,Southern France,Languedoc Roussillon,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,11.5,16~18,SWEET1,ACIDITY4,BODY2,TANNIN3,17000,2010,750
86,137324,Ginestet Selection Merlot,Maison Ginestet,France,Southern France,Languedoc Roussillon,,,Merlot,,,,,,,,,,,,Red,Table,11.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,17000,2010,750
88,137326,"Jean Berteau, Chateauneuf du Pape Domaine du Grand Coulet",Jean Berteau,France,Rhone,ChateauneufduPape,,,Grenache,Syrah & Shiraz,mourvedre,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY4,TANNIN4,0,2005,750
89,137327,"Jean Berteau, Cotes du Rhone Cuvee Prestige Red",Jean Berteau,France,Rhone,Cotes du Rhone,,,Syrah & Shiraz,Grenache,mourvedre,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,0,2006,750
91,137329,Jean Berteau Excellence,Jean Berteau,France,Rhone,Cotes du Rhone,,,Syrah & Shiraz,Grenache,mourvedre,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2005,750
92,137330,"Jean Luc Colombo, Chateauneuf du Pape 'Les Bartavelles'",Jean Luc Colombo,France,Rhone,ChateauneufduPape,,,Syrah & Shiraz,Grenache,mourvedre,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY5,TANNIN4,190000,2011,750
93,137331,"Jean Luc Colombo, Cornas 'Les Ruchets'",Jean Luc Colombo,France,Rhone,Cornas,,,Syrah & Shiraz,,,,,,,,,,,,Red,Table,13,16~19,SWEET1,ACIDITY4,BODY4,TANNIN4,260000,2009,750
94,137332,Cote Rotie La Divine,Jean Luc Colombo,France,Rhone,,,,Syrah & Shiraz,Viognier,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY5,TANNIN5,0,2004,750
95,137333,Jean Luc Colombo Cotes du Rhone  'Les Abeilles' Rouge,Jean Luc Colombo,France,Rhone,Cotes du Rhone,,,Grenache,Syrah & Shiraz,mourvedre,,,,,,,,,,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,39000,2013,750
98,137336,"Jean Luc Colombo, Crozes Hermitage  La Tuiliere",Jean Luc Colombo,France,Rhone,CrozesHermitage,,,Syrah & Shiraz,,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2004,750
99,137337,"Jean Luc Colombo, Hermitage Le Rouet",Jean Luc Colombo,France,Rhone,Hermitage,,,Syrah & Shiraz,Marsanne,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY5,TANNIN4,0,2004,750
100,137338,"Jean Luc Colombo, Collines Rhodaniennes 'Les Collines de Laure'",Jean Luc Colombo,France,Rhone,,,,Syrah & Shiraz,,,,,,,,,,,,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,40000,2018,750
101,137339,"Jean Luc Colombo, Saint Joseph Red Le Prieure",Jean Luc Colombo,France,Rhone,SaintJoseph,,,Syrah & Shiraz,,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2004,750
106,137344,Jordan Cabernet Sauvignon,Jordan Vineyard  Winery,USA,California,,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,13.8,16~18,SWEET1,ACIDITY4,BODY4,TANNIN4,180000,2012,750
108,137346,"Blue Nun, Cabernet Sauvignon",Langguth  Blue nun,France,Southern France,Languedoc Roussillon,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Dessert,13~14,16~18,SWEET3,ACIDITY2,BODY3,TANNIN2,19000,2017,750
109,137347,"Blue Nun, Dornfelder ",Langguth  Blue nun,Germany,Pfalz,,,,Dornfelder,,,,,,,,,,,,Red,Table,8~9,12~14,SWEET3,ACIDITY4,BODY3,TANNIN4,22000,2017,750
112,137351,"Blue Nun, Merlot",Langguth  Blue nun,France,Southern France,Languedoc Roussillon,,,Merlot,,,,,,,,,,,,Red,Table,13,16~18,SWEET2,ACIDITY3,BODY2,TANNIN2,17000,2011,750
117,137356,"Lawson's Dry Hills, Pinot Noir",Lawsons Dry Hills,New Zealand,South Island,Marlborough,,,Pinot Noir,,,,,,,,,,,,Red,Table,13.5,15~17,SWEET1,ACIDITY5,BODY3,TANNIN3,0,2008,750
120,137361,Lindemans Coonawarra Pyrus,Lindemans,Australia,South Australia,Coonawarra,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,,,,,,,Red,Table,14,17~19,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2011,750
121,137362,Lindemans Bin 45 Cabernet Sauvignon,Lindemans,Australia,South Australia,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,13.5,17~19,SWEET1,ACIDITY3,BODY3,TANNIN4,0,2012,750
122,137363,Lindemans Bin 50 Shiraz,Lindemans,Australia,South Australia,,,,Syrah & Shiraz,,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY4,BODY3,TANNIN4,0,2014,750
125,137366,Lindemans Cawarra Shiraz Cabernet,Lindemans,Australia,South Australia,,,,Syrah & Shiraz,Cabernet Sauvignon,,,,,,,,,,,Red,Table,13,17~19,SWEET1,ACIDITY3,BODY3,TANNIN4,17000,2014,750
126,137367,Lindemans Reserve Cabernet Merlot,Lindemans,Australia,South Australia,,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,13,17~19,SWEET1,ACIDITY3,BODY2,TANNIN3,0,2014,750
127,137368,Lindemans Reserve Cabernet Sauvignon,Lindemans,Australia,South Australia,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN4,0,2013,750
129,137370,Lindemans Reserve Shiraz,Lindemans,Australia,South Australia,,,,Syrah & Shiraz,,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2010,750
132,137373,Lindemans Premier Selection Shiraz Cabernet,Lindemans,Australia,South Australia,,,,Syrah & Shiraz,Cabernet Sauvignon,,,,,,,,,,,Red,Table,13.5,17~19,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2012,750
134,137375,Marques de Caceres Gaudium,Marques de Caceres,Spain,Rioja,,,,Tempranillo,Graciano,Garnacha,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2012,750
135,137376,Marques de Caceres Crianza,Marques de Caceres,Spain,Rioja,,,,Tempranillo,Graciano,Garnacha,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,0,2012,750
136,137377,Marques de Caceres Gran Reserva,Marques de Caceres,Spain,Rioja,,,,Tempranillo,Graciano,Garnacha,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2009,750
137,137379,Marques de Caceres Reserva,Marques de Caceres,Spain,Rioja,,,,Tempranillo,Graciano,Garnacha,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2011,750
138,137380,Marques de Caceres MC,Marques de Caceres,Spain,Rioja,,,,Tempranillo,,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2013,750
140,137382,"Matua, Marlborough Pinot Noir",Matua,New Zealand,South Island,Marlborough,,,Pinot Noir,,,,,,,,,,,,Red,Table,12~13,15~17,SWEET1,ACIDITY3,BODY3,TANNIN2,50000,2017,750
142,137384,JJ McWilliam's Cabernet Merlot,McWilliams Wines,Australia,South Australia,,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,22000,2007,750
143,137385,JJ McWilliam's Shiraz Cabernet,McWilliams Wines,Australia,South Australia,,,,Syrah & Shiraz,Cabernet Sauvignon,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY2,TANNIN3,22000,2007,750
144,137386,McWilliam's Hanwood Cabernet Sauvignon,McWilliams Wines,Australia,South Australia,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN4,0,2008,750
146,137388,McWilliam's Hanwood Shiraz,McWilliams Wines,Australia,South Australia,,,,Syrah & Shiraz,,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,30000,2008,750
151,137393,"Calvet, Noble Bordeaux Red",Calvet,France,Bordeaux,,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,12,16~18,SWEET2,ACIDITY4,BODY3,TANNIN3,0,2013,750
153,137395,Vieux Chateau du Terme,Vieux Chateau du Terme,France,Bordeaux,HautMedoc,,,Cabernet Sauvignon,Merlot,Petit Verdot,Malbec,,,,,,,,,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,40000,2003,750
155,137397,"Ruffino, Aziano Chianti Classico",Ruffino,Italy,Toscana,Chianti,,,Sangiovese,Cabernet Sauvignon,Merlot,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,52000,2018,750
156,137398,"Ruffino, Chianti",Ruffino,Italy,Toscana,Chianti,,,Sangiovese,Etc,,,,,,,,,,,Red,Table,12.5,15~18,SWEET1,ACIDITY3,BODY3,TANNIN3,30000,2019,750
157,137399,"Ruffino, Il Leo Chianti Superiore",Ruffino,Italy,Toscana,Chianti,,,Sangiovese,Cabernet Sauvignon,Merlot,,,,,,,,,,Red,Table,13~14,15~18,SWEET1,ACIDITY3,BODY3,TANNIN3,42000,2017,750
158,137400,"Ruffino, Riserva Ducale Chianti Classico Riserva",Ruffino,Italy,Toscana,Chianti,,,Sangiovese,Merlot,Cabernet Sauvignon,,,,,,,,,,Red,Table,13~14,15~18,SWEET1,ACIDITY3,BODY4,TANNIN3,71000,2017,750
159,137401,"Ruffino, Riserva Ducale Oro Chiant Classico Grand Selezione",Ruffino,Italy,Toscana,Chianti,,,Sangiovese,Merlot,Cabernet Sauvignon,,,,,,,,,,Red,Table,14.5,15~18,SWEET1,ACIDITY3,BODY5,TANNIN4,110000,2015,750
160,137402,"Ruffino, Santedame Chianti Classico",Ruffino,Italy,Toscana,Chianti,,,Sangiovese,,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,0,2005,750
161,137403,"Ruffino, Greppone Mazzi Brunello di Montalcino",Ruffino,Italy,Toscana,Montalcino,,,Sangiovese Grosso,,,,,,,,,,,,Red,Table,14.5,15~18,SWEET1,ACIDITY3,BODY5,TANNIN4,200000,2015,750
162,137404,"Ruffino, Lodola Nuova, Vino Nobile di Montepulciano",Ruffino,Italy,Toscana,Montepulciano,,,Sangiovese,Merlot,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2007,750
164,137406,"Ruffino, Fonte Al Sole",Ruffino,Italy,Toscana,,,,Sangiovese,Merlot,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN2,25000,2011,750
165,137407,"Ruffino, Il Ducale Toscana",Ruffino,Italy,Toscana,,,,Sangiovese,Merlot,Etc,,,,,,,,,,Red,Table,13~14,15~18,SWEET1,ACIDITY3,BODY4,TANNIN3,55000,2018,750
