,id,name,producer,nation,local1,local2,local3,local4,varieties1,varieties2,varieties3,varieties4,varieties5,varieties6,varieties7,varieties8,varieties9,varieties10,varieties11,varieties12,type,use,abv,degree,sweet,acidity,body,tannin,price,year,ml
6234,147650,"Fornacelle, Zizzolo",Fornacelle,Italy,Toscana,Bolgheri,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2007,750
6235,147651,"Fornacelle, Guarda Boschi",Fornacelle,Italy,Toscana,Bolgheri,,,Merlot,Cabernet Franc,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2007,750
6236,147652,"San Marzano, SUD Primitivo Merlot",San Marzano Feudi di San Marzano,Italy,Puglia,,,,Primitivo,Merlot,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY5,TANNIN4,0,2009,750
6237,147653,"San Marzano, SUD Primitivo di Manduria",San Marzano Feudi di San Marzano,Italy,Puglia,Manduria,,,Primitivo,,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY2,BODY5,TANNIN3,0,2010,750
6238,147654,"Vigneti Zabu, Zabu Nero d'Avola",Vigneti Zabu,Italy,Sicilia,,,,Nero d'Avola,,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2017,750
6239,147655,"Vigneti Zabu, Zabu Syrah",Vigneti Zabu,Italy,Sicilia,,,,Syrah & Shiraz,,,,,,,,,,,,Red,Table,13.5,16~19,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2009,750
6240,147656,"Vigneti Zabu, Il Passo",Vigneti Zabu,Italy,Sicilia,,,,Nero d'Avola,Nerello Mascalese,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2017,750
6244,147663,"Thunevin Calvet, Les Dentelles",Thunevin Calvet Domaine Thunevin Calvet,France,Southern France,Languedoc Roussillon,Ctes du Roussillon Villages,,Grenache,Carignan,mourvedre,,,,,,,,,,Red,Table,15~16,16~18,SWEET1,ACIDITY3,BODY5,TANNIN4,0,2017,750
6246,147666,Despagne Girolate,Despagne,France,Bordeaux,,,,Merlot,,,,,,,,,,,,Red,Table,14.5,16~18,SWEET1,ACIDITY4,BODY5,TANNIN3,200000,2008,750
6249,147669,"Misiones de Rengo, Cuvee Cabernet Sauvignon",Vina Misiones de Rengo,Chile,Rapel Valley,,,,Cabernet Sauvignon,Syrah & Shiraz,Carmenere,,,,,,,,,,Red,Table,14.4,15~17,SWEET1,ACIDITY3,BODY4,TANNIN4,55000,2007,750
6250,147670,"Misiones de Rengo, Cuvee Carmenere",Vina Misiones de Rengo,Chile,Rapel Valley,,,,Carmenere,Cabernet Sauvignon,Syrah & Shiraz,,,,,,,,,,Red,Table,14.5,15~17,SWEET1,ACIDITY3,BODY3,TANNIN3,55000,2008,750
6252,147672,"Misiones de Rengo, Reserva Cabernet Sauvignon",Vina Misiones de Rengo,Chile,Rapel Valley,,,,Cabernet Sauvignon,Syrah & Shiraz,,,,,,,,,,,Red,Table,14.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN4,36000,2009,750
6253,147673,"Misiones de Rengo, Reserva Merlot",Vina Misiones de Rengo,Chile,Rapel Valley,,,,Merlot,Cabernet Sauvignon,Syrah & Shiraz,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,36000,2009,750
6254,147674,"Misiones de Rengo, Reserva Syrah",Vina Misiones de Rengo,Chile,Rapel Valley,,,,Cabernet Sauvignon,Syrah & Shiraz,Carmenere,,,,,,,,,,Red,Table,14.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,36000,2009,750
6257,147677,"Misiones de Rengo, Varietal Cabernet Sauvignon",Vina Misiones de Rengo,Chile,Central Valley,,,,Cabernet Sauvignon,Syrah & Shiraz,Merlot,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN2,21000,2009,750
6258,147678,"Misiones de Rengo, Varietal Merlot",Vina Misiones de Rengo,Chile,Central Valley,,,,Merlot,Cabernet Sauvignon,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,21000,2009,750
6259,147679,"Misiones de Rengo, Varietal Carmenere",Vina Misiones de Rengo,Chile,Central Valley,,,,Carmenere,Cabernet Sauvignon,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,21000,2009,750
6262,147682,"Chilano, Cabernet Petit Verdot",Ventisquero,Chile,Maipo Valley,,,,Cabernet Sauvignon,Petit Verdot,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY2,TANNIN3,14800,2009,750
6263,147683,"Chilano, Merlot Shiraz",Ventisquero,Chile,Maipo Valley,,,,Merlot,Syrah & Shiraz,,,,,,,,,,,Red,Table,13.9,16~18,SWEET1,ACIDITY3,BODY2,TANNIN3,14800,2009,750
6264,147684,Chilano Shiraz Cabernet,Ventisquero,Chile,Maipo Valley,,,,Syrah & Shiraz,Cabernet Sauvignon,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,14800,2009,750
6265,147685,"Brotte, Domaine Grosset Cotes Du Rhone Villages Cairanne",Brotte,France,Rhone,Cotes du Rhone,,,Grenache,Syrah & Shiraz,mourvedre,,,,,,,,,,Red,Table,13.5,15~17,SWEET1,ACIDITY3,BODY3,TANNIN3,55000,2012,750
6266,147686,"Brotte, Domaine Barville Chateauneuf du pape rouge",Brotte,France,Rhone,ChateauneufduPape,,,Grenache,Syrah & Shiraz,mourvedre,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY4,TANNIN4,160000,2007,750
